Country,Code,CountryID
Albania,ALB,8
Algeria,DZA,12
Angola,AGO,24
Argentina,ARG,32
Armenia,ARM,51
Australia,AUS,36
Austria,AUT,40
Azerbaijan,AZE,31
Bahrain,BHR,48
Bangladesh,BGD,50
Belarus,BLR,112
Belgium,BEL,56
Benin,BEN,204
Bolivia,BOL,68
Bosnia & Herzegovina,BIH,70
Botswana,BWA,72
Brazil,BRA,76
Brunei,BRN,96
Bulgaria,BGR,100
Cambodia,KHM,116
Cameroon,CMR,120
Canada,CAN,124
Chile,CHL,152
Taiwan,TWN,158
Colombia,COL,170
Congo,COG,178
Costa Rica,CRI,188
Cote d'Ivoire,CIV,384
Croatia,HRV,191
Cuba,CUB,192
Curacao,CUW,531
Cyprus,CYP,196
Czech Republic,CZE,203
DR Congo,COD,180
Denmark,DNK,208
Dom Republic,DOM,214
DPR of Korea,PRK,408
Ecuador,ECU,218
Egypt,EGY,818
El Salvador,SLV,222
Eritrea,ERI,232
Estonia,EST,233
Ethiopia,ETH,231
Finland,FIN,246
France,FRA,250
Macedonia,MKD,807
Gabon,GAB,266
Georgia,GEO,268
Germany,DEU,276
Ghana,GHA,288
Gibraltar,GIB,292
Greece,GRC,300
Guatemala,GTM,320
Haiti,HTI,332
Honduras,HND,340
Hong Kong,HKG,344
Hungary,HUN,348
Iceland,ISL,352
India,IND,356
Indonesia,IDN,360
Iraq,IRQ,368
Ireland,IRL,372
Iran,IRN,364
Israel,ISR,376
Italy,ITA,380
Jamaica,JAM,388
Japan,JPN,392
Jordan,JOR,400
Kazakhstan,KAZ,398
Kenya,KEN,404
Korea,KOR,410
Kosovo,KOSOVO,-2
Kuwait,KWT,414
Kyrgyzstan,KGZ,417
Latvia,LVA,428
Lebanon,LBN,422
Libya,LBY,434
Lithuania,LTU,440
Luxembourg,LUX,442
Malaysia,MYS,458
Malta,MLT,470
Mauritius,MAURITIUS,480
Mexico,MEX,484
Mongolia,MNG,496
Montenegro,MNE,499
Morocco,MAR,504
Mozambique,MOZ,508
Myanmar,MMR,104
Namibia,NAM,516
Nepal,NPL,524
Netherlands,NLD,528
New Zealand,NZL,554
Nicaragua,NIC,558
Niger,NER,562
Nigeria,NGA,566
Norway,NOR,578
Oman,OMN,512
Pakistan,PAK,586
Panama,PAN,591
Paraguay,PRY,600
China,CHN,156
Peru,PER,604
Philippines,PHL,608
Poland,POL,616
Portugal,PRT,620
Qatar,QAT,634
Moldova,MDA,498
Romania,ROU,642
Russia,RUS,643
Saudi Arabia,SAU,682
Senegal,SEN,686
Serbia,SRB,688
Singapore,SGP,702
Slovakia,SVK,703
Slovenia,SVN,705
South Africa,ZAF,710
South Sudan,SSD,728
Spain,ESP,724
Sri Lanka,LKA,144
Sudan,SDN,729
Sweden,SWE,752
Switzerland,CHE,756
Syria ,SYR,760
Tajikistan,TJK,762
Tanzania,TZA,834
Thailand,THA,764
Togo,TGO,768
Trinidad,TTO,780
Tunisia,TUN,788
Turkey,TUR,792
Turkmenistan,TKM,795
Ukraine,UKR,804
UAE,ARE,784
United Kingdom,GBR,826
United States,USA,840
Uruguay,URY,858
Uzbekistan,UZB,860
Venezuela,VEN,862
Vietnam,VNM,704
Yemen,YEM,887
Zambia,ZMB,894
Zimbabwe,ZWE,716
